branch_id;serie;emission_date;weight;weight_m3;weight_charged;m3;shipping_value;tax_amount;total_value;type_transportation;lot;origin_branch_id;recipient_branch_id;calculation_branch_id;debit_branch_id;shipping_table_order;shipping_table;shipping_type;insurance;insurance_contract;delivery_time;doct_blocked;sender_customer_id;recipient_customer_id;consignee_customer_id;debtor_customer_id;customer_calculation_id;delivery_route_id;delivery_date;cte_protocol;cte_key;cte_situation;cte_sefaz_return;cost_center_id;bill
15;11;2022-10-02 22:04:48;37;5;29,460000;11,310000;15612.13; 468.36 ; 16080.49 ;FOB;21;8;14;14;14;1;1;AEREO;Averbado;1888348;2024-03-05;0;444;738;;738;738;1;;268329948;20202210290812650001435511792651649010858333;Rejeitado;Schema Invalido;1;
2;14;2022-12-25 16:48:00;36;42;48,640000;4,820000;27777.66; 833.33 ; 28610.99 ;CIF;57;1;21;1;1;2;1;RODOVIARIO;Averbado;537697;2024-02-29;0;814;520;;814;814;1;;390492692;42202212290812650001435514645572935010848000;Aguardando retorno da Sefaz;Autorizado;1;
12;12;2022-12-22 00:57:36;22;51;17,420000;34,100000;5699.09; 56.99 ; 5756.08 ;FOB;92;4;14;14;14;3;1;AEREO;Não Averbado;;2024-02-23;0;191;620;;620;620;1;;259957173;30202212290812650001435512428426406010859333;Aguardando retorno da Sefaz;Autorizado;1;
14;13;2023-12-22 10:19:12;12;53;51,360000;48,720000;7524.83; 150.5 ; 7675.33 ;FOB;85;17;2;2;2;1;1;AEREO;Não Averbado;;2024-03-03;0;534;246;;246;246;1;;544444584;37202312290812650001435513127854385010890111;Rejeitado;Schema Invalido;1;
11;12;2023-01-10 03:07:12;32;15;16,650000;26,100000;5474.06; 164.22 ; 5638.28 ;FOB;65;8;20;20;20;3;1;RODOVIARIO;Não Averbado;;2024-02-24;0;490;377;;377;377;1;;551777022;40202312908126500014355126992944160108424444;Rejeitado;Schema Invalido;1;
18;10;2022-03-23 20:52:48;42;16;30,360000;37,160000;32507.63; 975.23 ; 33482.86 ;FOB;85;19;25;25;25;3;1;RODOVIARIO;Averbado;2375712;2024-02-19;0;943;656;;656;656;1;;393186749;26202232908126500014355105595772050108601111;Aguardando retorno da Sefaz;Autorizado;1;
9;10;2022-11-19 14:24:00;47;22;22,860000;35,090000;20945.2; 418.9 ; 21364.1 ;FOB;2;25;3;3;3;1;1;AEREO;Não Averbado;;2024-02-23;0;474;134;;134;134;1;;253365897;22202211290812650001435510629207113010813111;Aguardando retorno da Sefaz;Autorizado;1;
16;14;2023-02-10 20:09:36;13;36;32,590000;22,880000;19883.08; 596.49 ; 20479.57 ;FOB;21;11;1;1;1;3;1;RODOVIARIO;Não Averbado;;2024-02-15;0;341;435;;435;435;1;2024-02-16;365665077;20202322908126500014355146996997710108751111;Rejeitado;Schema Invalido;1;
17;12;2022-04-01 17:16:48;1;44;54,160000;32,560000;32359.94; 647.2 ; 33007.14 ;CIF;53;20;10;20;20;2;1;AEREO;Averbado;739305;2024-02-16;0;338;932;;338;338;1;2024-02-27;212006717;48202242908126500014355125053175810108286666;Rejeitado;Schema Invalido;1;
14;11;2022-12-26 09:50:24;48;19;16,080000;39,490000;35887.68; 717.75 ; 36605.43 ;FOB;73;1;18;18;18;1;1;AEREO;Não Averbado;;2024-03-01;0;670;460;;460;460;1;;872996739;22202212290812650001435511786646056010845777;Autorizado;Autorizado;1;
14;15;2023-11-06 23:16:48;30;32;44,470000;54,790000;30681.15; 920.43 ; 31601.58 ;CIF;93;3;18;3;3;2;1;AEREO;Não Averbado;;2024-03-04;0;359;439;;359;359;1;;165974578;35202311290812650001435515479760953010871333;Autorizado;Autorizado;1;
21;13;2023-09-17 20:38:24;54;7;52,250000;16,030000;23064.99; 691.95 ; 23756.94 ;FOB;75;25;18;18;18;1;1;RODOVIARIO;Não Averbado;;2024-02-26;0;265;511;;511;511;1;;699129292;27202392908126500014355133370877130108272222;Aguardando retorno da Sefaz;Autorizado;1;
1;10;2023-03-09 07:55:12;22;28;8,400000;32,610000;20624.07; 206.24 ; 20830.31 ;CIF;49;19;19;19;19;1;1;RODOVIARIO;Averbado;468569;2024-02-23;0;435;143;;435;435;1;;603311998;42202332908126500014355108949742930108288888;Rejeitado;Schema Invalido;1;
19;12;2022-03-26 21:21:36;6;1;31,700000;37,370000;19518.73; 195.19 ; 19713.92 ;CIF;97;12;23;12;12;1;1;AEREO;Não Averbado;;2024-03-05;0;231;603;;231;231;1;;310500730;26202232908126500014355126079359540108894444;Autorizado;Autorizado;1;
17;15;2023-02-25 20:38:24;40;27;27,990000;31,400000;12979.96; 389.4 ; 13369.36 ;FOB;37;25;13;13;13;2;1;AEREO;Não Averbado;;2024-02-16;0;838;921;;921;921;1;2024-02-25;144718379;52202322908126500014355153267772570108941111;Rejeitado;Schema Invalido;1;
6;14;2022-07-31 11:02:24;23;24;4,230000;40,410000;5181.03; 51.81 ; 5232.84 ;CIF;72;15;12;15;15;3;1;RODOVIARIO;Não Averbado;;2024-02-18;0;388;338;;388;388;1;;364825949;18202272908126500014355147425712610108403333;Rejeitado;Schema Invalido;1;
4;15;2022-02-02 02:38:24;32;30;46,490000;49,810000;5081.16; 152.43 ; 5233.59 ;CIF;84;4;13;4;4;2;1;RODOVIARIO;Não Averbado;;2024-02-17;0;247;863;;247;247;1;;976630154;19202222908126500014355151720654690108706666;Autorizado;Autorizado;1;
25;12;2023-01-23 06:43:12;1;14;36,850000;33,980000;30266.11; 907.98 ; 31174.09 ;FOB;90;17;5;5;5;1;1;RODOVIARIO;Não Averbado;;2024-02-25;0;348;476;;476;476;1;2024-03-04;136404730;12202312908126500014355128843248001087577777;Autorizado;Autorizado;1;
13;15;2022-03-05 09:21:36;55;17;31,360000;52,920000;35481.24; 709.62 ; 36190.86 ;CIF;44;23;5;23;23;2;1;RODOVIARIO;Averbado;497671;2024-02-17;0;35;461;;35;35;1;2024-03-02;389090390;22202232908126500014355151195506390108460000;Rejeitado;Schema Invalido;1;
21;12;2022-11-11 01:12:00;19;49;28,440000;33,310000;22616.06; 678.48 ; 23294.54 ;CIF;61;5;19;5;5;2;1;RODOVIARIO;Averbado;1667428;2024-02-20;0;694;958;;694;694;1;;582960979;52202211290812650001435512768799631010853000;Rejeitado;Schema Invalido;1;
14;11;2023-03-08 03:07:12;2;30;11,650000;1,130000;9376.84; 187.54 ; 9564.38 ;FOB;98;19;12;12;12;3;1;RODOVIARIO;Averbado;265863;2024-03-01;0;917;304;;304;304;1;2024-03-03;805436025;36202332908126500014355119124747510108290000;Autorizado;Autorizado;1;
18;14;2022-04-23 17:16:48;35;39;4,700000;31,000000;21601.63; 648.05 ; 22249.68 ;FOB;24;1;4;4;4;1;1;RODOVIARIO;Averbado;1360817;2024-02-16;0;749;976;;976;976;1;;340207703;29202242908126500014355143651921930108600000;Rejeitado;Schema Invalido;1;
14;14;2023-03-27 19:55:12;25;45;50,500000;13,660000;16960.33; 339.21 ; 17299.54 ;CIF;90;25;1;25;25;3;1;AEREO;Averbado;825061;2024-02-21;0;775;212;;775;775;1;2024-02-20;365455843;41202332908126500014355142790530301087511111;Rejeitado;Schema Invalido;1;
7;10;2023-04-23 00:57:36;48;43;51,930000;19,870000;15467.29; 464.02 ; 15931.31 ;FOB;33;24;22;22;22;1;1;RODOVIARIO;Averbado;1074617;2024-03-05;0;976;637;;637;637;1;2024-02-23;834055927;29202342908126500014355107423952601089755555;Rejeitado;Schema Invalido;1;
16;11;2023-03-15 07:12:00;25;47;12,520000;31,430000;34194.6; 683.89 ; 34878.49 ;CIF;90;10;1;10;10;2;1;RODOVIARIO;Não Averbado;;2024-02-27;0;338;532;;338;338;1;2024-02-18;780995016;30202332908126500014355113925061420108537777;Aguardando retorno da Sefaz;Autorizado;1;
14;11;2022-08-03 11:31:12;43;45;35,530000;39,190000;18955.17; 189.55 ; 19144.72 ;FOB;42;10;24;24;24;3;1;AEREO;Não Averbado;;2024-03-05;0;135;92;;92;92;1;2024-02-16;678492824;46202282908126500014355116995862350108233333;Aguardando retorno da Sefaz;Autorizado;1;
2;15;2022-05-02 23:45:36;42;18;21,420000;36,270000;23361; 233.61 ; 23594.61 ;FOB;39;18;7;7;7;2;1;AEREO;Não Averbado;;2024-02-17;0;303;946;;946;946;1;2024-02-27;839174987;32202252908126500014355155257381220108417777;Aguardando retorno da Sefaz;Autorizado;1;
2;14;2023-06-28 09:21:36;21;12;25,310000;42,730000;1156.27; 11.56 ; 1167.83 ;CIF;37;18;10;18;18;3;1;AEREO;Averbado;726784;2024-03-04;0;262;890;;262;262;1;;230340547;24202362908126500014355142576464620108729999;Rejeitado;Schema Invalido;1;
22;13;2022-03-26 07:40:48;46;50;16,440000;39,600000;16788.49; 335.77 ; 17124.26 ;FOB;28;23;9;9;9;3;1;RODOVIARIO;Averbado;1840402;2024-02-24;0;577;563;;563;563;1;;849588751;52202232908126500014355131054243701083499999;Aguardando retorno da Sefaz;Autorizado;1;
5;12;2023-03-02 10:19:12;44;16;35,260000;2,270000;21503.18; 645.1 ; 22148.28 ;CIF;62;2;15;2;2;3;1;AEREO;Averbado;882259;2024-03-01;0;486;508;;486;486;1;;632786441;50202332908126500014355126434869701083400000;Autorizado;Autorizado;1;
20;12;2022-03-26 10:04:48;10;24;43,950000;18,770000;3290.43; 98.71 ; 3389.14 ;CIF;16;1;7;1;1;1;1;AEREO;Averbado;182037;2024-02-19;0;547;996;;547;547;1;;841740445;49202232908126500014355125415900050108966666;Rejeitado;Schema Invalido;1;
13;14;2023-10-20 00:28:48;36;16;12,520000;44,690000;34080.42; 681.61 ; 34762.03 ;CIF;64;13;10;13;13;3;1;RODOVIARIO;Averbado;2192518;2024-02-28;0;175;188;;175;175;1;2024-03-05;695790125;23202310290812650001435514817547467010829111;Rejeitado;Schema Invalido;1;
18;15;2023-04-30 01:55:12;50;14;41,700000;18,790000;5353.68; 53.54 ; 5407.22 ;CIF;83;4;3;4;4;1;1;RODOVIARIO;Averbado;838600;2024-02-19;0;669;32;;669;669;1;2024-03-02;894912866;34202342908126500014355156153119920108963333;Autorizado;Autorizado;1;
22;14;2024-01-15 04:48:00;36;23;5,420000;28,800000;22425.78; 224.26 ; 22650.04 ;FOB;51;16;24;24;24;2;1;RODOVIARIO;Averbado;2550216;2024-02-28;0;339;272;;272;272;1;2024-02-24;617437546;42202412908126500014355145235875990108367777;Aguardando retorno da Sefaz;Autorizado;1;
9;12;2022-10-03 13:40:48;36;2;14,780000;27,630000;17587.3; 175.87 ; 17763.17 ;FOB;52;23;13;13;13;2;1;AEREO;Averbado;159564;2024-02-22;0;568;128;;128;128;1;2024-02-28;458822023;25202210290812650001435512836123094010876333;Aguardando retorno da Sefaz;Autorizado;1;
20;14;2023-06-21 05:02:24;22;11;5,460000;5,650000;17865.1; 178.65 ; 18043.75 ;FOB;17;13;8;8;8;2;1;RODOVIARIO;Não Averbado;;2024-02-21;0;983;548;;548;548;1;;949327081;30202362908126500014355144470208730108277777;Aguardando retorno da Sefaz;Autorizado;1;
1;15;2022-07-26 18:28:48;45;24;24,640000;26,320000;3505.17; 35.05 ; 3540.22 ;CIF;26;3;21;3;3;1;1;AEREO;Averbado;1378061;2024-02-24;0;151;423;;151;151;1;2024-02-22;824764789;46202272908126500014355152246796250108146666;Autorizado;Autorizado;1;
7;11;2023-01-05 06:00:00;55;46;52,780000;22,910000;13413.66; 268.27 ; 13681.93 ;CIF;46;5;18;5;5;1;1;AEREO;Averbado;1017842;2024-02-21;0;658;239;;658;658;1;;191845696;21202312908126500014355111782952310108675555;Autorizado;Autorizado;1;
21;10;2023-10-22 22:04:48;47;38;23,220000;20,680000;1284.27; 12.84 ; 1297.11 ;FOB;16;17;18;18;18;1;1;RODOVIARIO;Não Averbado;;2024-02-23;0;226;177;;177;177;1;;905717322;30202310290812650001435510238588353010819222;Autorizado;Autorizado;1;
22;13;2023-01-25 21:36:00;4;50;35,320000;29,170000;14251.01; 285.02 ; 14536.03 ;FOB;84;4;1;1;1;3;1;RODOVIARIO;Não Averbado;;2024-02-15;0;769;712;;712;712;1;2024-03-02;680909157;38202312908126500014355137362110570108671111;Aguardando retorno da Sefaz;Autorizado;1;
8;11;2023-12-03 13:12:00;43;3;49,710000;53,800000;27435.03; 823.05 ; 28258.08 ;FOB;73;24;14;14;14;3;1;RODOVIARIO;Averbado;1440965;2024-02-22;0;912;664;;664;664;1;;449070043;28202312290812650001435511382212752010869000;Rejeitado;Schema Invalido;1;
2;12;2022-02-21 00:43:12;39;26;28,190000;51,600000;28602.97; 286.03 ; 28889 ;CIF;74;19;12;19;19;2;1;RODOVIARIO;Averbado;329405;2024-02-19;0;767;482;;767;767;1;;763496827;27202222908126500014355122167377810108212222;Rejeitado;Schema Invalido;1;
15;11;2022-03-25 06:00:00;15;1;1,300000;20,960000;5329.11; 106.58 ; 5435.69 ;FOB;70;9;5;5;5;2;1;AEREO;Não Averbado;;2024-03-01;0;228;365;;365;365;1;;239151009;33202232908126500014355114567555270108582222;Aguardando retorno da Sefaz;Autorizado;1;
7;11;2023-03-12 10:19:12;33;35;50,600000;19,200000;7683.44; 76.83 ; 7760.27 ;FOB;41;6;12;12;12;2;1;AEREO;Averbado;907106;2024-03-04;0;378;566;;566;566;1;;340000451;49202332908126500014355116273138150108566666;Autorizado;Autorizado;1;
20;12;2023-06-24 22:33:36;34;20;3,610000;28,450000;5309.05; 106.18 ; 5415.23 ;CIF;55;11;18;11;11;3;1;AEREO;Averbado;1019877;2024-03-02;0;588;922;;588;588;1;;467586505;50202362908126500014355126766475270108335555;Aguardando retorno da Sefaz;Autorizado;1;
10;13;2022-11-09 12:14:24;46;5;33,490000;52,830000;21492.95; 644.79 ; 22137.74 ;FOB;43;9;3;3;3;2;1;AEREO;Não Averbado;;2024-02-18;0;421;746;;746;746;1;2024-02-29;980319219;17202211290812650001435513718159106010898999;Autorizado;Autorizado;1;
9;11;2024-01-04 05:02:24;50;12;27,120000;3,060000;1684.65; 16.85 ; 1701.5 ;CIF;90;11;12;11;11;3;1;AEREO;Não Averbado;;2024-02-23;0;751;728;;751;751;1;2024-02-15;885994496;30202412908126500014355112629921500108408888;Aguardando retorno da Sefaz;Autorizado;1;
20;13;2023-12-18 05:02:24;10;26;51,650000;10,520000;35921.33; 359.21 ; 36280.54 ;FOB;38;3;18;18;18;1;1;RODOVIARIO;Não Averbado;;2024-02-26;0;288;305;;305;305;1;2024-02-22;669426718;34202312290812650001435513407745981010813222;Aguardando retorno da Sefaz;Autorizado;1;
22;12;2023-12-29 22:33:36;44;33;42,290000;7,900000;7474.61; 149.49 ; 7624.1 ;CIF;80;15;20;15;15;3;1;RODOVIARIO;Averbado;618755;2024-02-14;0;828;378;;828;828;1;;146830012;21202312290812650001435512435252675010853111;Rejeitado;Schema Invalido;1;
5;12;2022-10-02 10:19:12;51;49;24,310000;49,080000;4021.05; 40.21 ; 4061.26 ;FOB;14;18;6;6;6;2;1;RODOVIARIO;Não Averbado;;2024-02-21;0;142;913;;913;913;1;2024-02-16;384981797;29202210290812650001435512372433661010825555;Rejeitado;Schema Invalido;1;
1;10;2023-07-12 14:52:48;8;27;44,160000;5,060000;20721; 621.63 ; 21342.63 ;FOB;19;15;16;16;16;1;1;RODOVIARIO;Averbado;162691;2024-02-17;0;208;848;;848;848;1;;844867395;27202372908126500014355106769346650108803333;Aguardando retorno da Sefaz;Autorizado;1;
15;14;2023-11-15 14:52:48;54;50;13,300000;12,780000;12005.53; 360.17 ; 12365.7 ;CIF;37;7;4;7;7;2;1;RODOVIARIO;Averbado;261398;2024-02-21;0;885;837;;885;885;1;;130383459;45202311290812650001435514199936050010848777;Aguardando retorno da Sefaz;Autorizado;1;
4;14;2023-09-09 18:00:00;3;4;31,350000;41,490000;7984.32; 79.84 ; 8064.16 ;CIF;22;7;23;7;7;1;1;RODOVIARIO;Não Averbado;;2024-03-03;0;798;126;;798;798;1;2024-02-20;522100769;13202392908126500014355143310415360108503333;Rejeitado;Schema Invalido;1;
9;12;2022-09-02 11:45:36;3;1;42,410000;1,250000;4061.71; 121.85 ; 4183.56 ;FOB;75;11;6;6;6;2;1;AEREO;Averbado;203859;2024-02-28;0;91;887;;887;887;1;;169820020;30202292908126500014355122572372701086777777;Rejeitado;Schema Invalido;1;
14;13;2023-04-05 01:40:48;2;22;15,150000;16,860000;3106.72; 93.2 ; 3199.92 ;FOB;70;7;1;1;1;1;1;RODOVIARIO;Não Averbado;;2024-03-04;0;882;248;;248;248;1;2024-02-20;175550263;23202342908126500014355137669660440108141111;Autorizado;Autorizado;1;
8;12;2022-05-29 02:52:48;36;4;40,740000;6,580000;22631.54; 678.95 ; 23310.49 ;FOB;99;24;15;15;15;3;1;AEREO;Não Averbado;;2024-03-01;0;52;100;;100;100;1;;786211068;23202252908126500014355129185892130108944444;Autorizado;Autorizado;1;
18;13;2022-02-22 14:24:00;49;41;35,310000;46,790000;26277.79; 262.78 ; 26540.57 ;CIF;43;15;23;15;15;1;1;AEREO;Não Averbado;;2024-02-22;0;790;872;;790;790;1;;740781942;11202222908126500014355136218262430108638888;Rejeitado;Schema Invalido;1;
5;13;2023-03-01 06:28:48;26;17;10,990000;13,810000;30560.33; 611.21 ; 31171.54 ;CIF;34;12;21;12;12;3;1;AEREO;Averbado;2474835;2024-03-02;0;588;892;;588;588;1;2024-02-27;328131980;25202332908126500014355136902891720108898888;Autorizado;Autorizado;1;
23;11;2023-02-08 22:04:48;31;36;41,410000;14,710000;9732.28; 97.32 ; 9829.6 ;FOB;81;9;17;17;17;2;1;AEREO;Averbado;218435;2024-02-19;0;164;616;;616;616;1;2024-02-21;800504572;38202322908126500014355118217709330108658888;Aguardando retorno da Sefaz;Autorizado;1;
9;15;2023-10-18 09:50:24;9;11;15,560000;13,670000;25874.22; 517.48 ; 26391.7 ;CIF;70;20;14;20;20;2;1;RODOVIARIO;Não Averbado;;2024-02-23;0;488;791;;488;488;1;2024-03-02;850123351;17202310290812650001435515746281052010896333;Autorizado;Autorizado;1;
7;15;2023-09-29 18:28:48;8;33;9,190000;22,600000;34925.36; 1047.76 ; 35973.12 ;CIF;99;21;5;21;21;2;1;RODOVIARIO;Averbado;750315;2024-03-04;0;287;81;;287;287;1;2024-02-28;517095957;36202392908126500014355155084462300108648888;Autorizado;Autorizado;1;
15;15;2023-04-04 00:28:48;6;53;20,360000;42,170000;17298.52; 172.99 ; 17471.51 ;CIF;78;3;2;3;3;1;1;RODOVIARIO;Não Averbado;;2024-02-22;0;406;636;;406;406;1;;998180063;45202342908126500014355152927794670108713333;Autorizado;Autorizado;1;
16;10;2022-09-22 01:12:00;54;15;16,480000;17,240000;4386.06; 87.72 ; 4473.78 ;FOB;56;25;4;4;4;2;1;AEREO;Averbado;872730;2024-02-28;0;644;235;;235;235;1;;826492145;13202292908126500014355103115983090108997777;Rejeitado;Schema Invalido;1;
25;12;2023-02-05 08:52:48;7;30;48,190000;8,990000;12192.27; 121.92 ; 12314.19 ;CIF;46;15;25;15;15;2;1;RODOVIARIO;Averbado;2417131;2024-02-27;0;329;569;;329;329;1;2024-03-02;704257527;33202322908126500014355123150052950108632222;Autorizado;Autorizado;1;
14;15;2023-12-12 12:43:12;48;31;24,710000;29,460000;10630.37; 106.3 ; 10736.67 ;FOB;50;21;25;25;25;3;1;AEREO;Averbado;1363845;2024-02-23;0;861;903;;903;903;1;2024-02-29;800572425;38202312290812650001435515238834422010841888;Aguardando retorno da Sefaz;Autorizado;1;
5;12;2023-03-18 23:45:36;50;41;14,090000;2,690000;1283.08; 12.83 ; 1295.91 ;CIF;20;18;11;18;18;1;1;AEREO;Averbado;172449;2024-02-19;0;981;334;;981;981;1;;381450942;36202332908126500014355123318499750108493333;Aguardando retorno da Sefaz;Autorizado;1;
18;13;2023-10-03 07:12:00;2;6;5,070000;12,530000;35084.47; 701.69 ; 35786.16 ;CIF;12;7;3;7;7;3;1;AEREO;Não Averbado;;2024-02-15;0;951;715;;951;951;1;;505415693;42202310290812650001435513401661330108977777;Aguardando retorno da Sefaz;Autorizado;1;
8;13;2022-06-05 22:48:00;28;23;28,950000;31,330000;12890.77; 386.72 ; 13277.49 ;CIF;96;25;25;25;25;2;1;AEREO;Não Averbado;;2024-03-03;0;492;547;;492;492;1;;855973656;52202262908126500014355138775936880108696666;Rejeitado;Schema Invalido;1;
23;14;2023-11-13 02:24:00;22;16;40,400000;41,530000;13782.47; 137.82 ; 13920.29 ;CIF;43;5;14;5;5;3;1;AEREO;Averbado;1051199;2024-02-22;0;673;840;;673;673;1;;780890567;31202311290812650001435514942115685010834888;Aguardando retorno da Sefaz;Autorizado;1;
16;10;2022-02-24 19:26:24;42;53;3,230000;13,530000;10690.79; 213.82 ; 10904.61 ;FOB;29;17;14;14;14;3;1;AEREO;Averbado;1410560;2024-02-26;0;5;659;;659;659;1;;999990873;25202222908126500014355109598667740108642222;Aguardando retorno da Sefaz;Autorizado;1;
24;12;2023-01-07 10:04:48;31;3;5,420000;35,970000;24556.53; 491.13 ; 25047.66 ;FOB;87;3;7;7;7;1;1;AEREO;Averbado;441415;2024-02-25;0;962;275;;275;275;1;2024-02-24;514108090;37202312908126500014355127606707670108281111;Autorizado;Autorizado;1;
16;13;2022-12-02 08:24:00;13;42;25,360000;19,240000;25108.86; 502.18 ; 25611.04 ;CIF;96;25;10;25;25;2;1;RODOVIARIO;Averbado;2030727;2024-02-25;0;388;924;;388;388;1;2024-03-05;215576746;17202212290812650001435513796956152010821000;Autorizado;Autorizado;1;
25;10;2023-01-23 08:52:48;26;32;22,100000;35,060000;1611.19; 16.11 ; 1627.3 ;FOB;32;20;11;11;11;3;1;AEREO;Não Averbado;;2024-02-16;0;633;707;;707;707;1;2024-02-23;849339081;49202312908126500014355109902160610108139999;Rejeitado;Schema Invalido;1;
13;11;2023-08-26 11:02:24;25;20;28,010000;19,210000;26305.77; 263.06 ; 26568.83 ;CIF;96;23;20;23;23;1;1;RODOVIARIO;Averbado;1756492;2024-03-02;0;524;99;;524;524;1;2024-02-26;748022639;38202382908126500014355115252884470108679999;Rejeitado;Schema Invalido;1;
19;15;2022-06-19 06:28:48;32;2;12,460000;24,620000;3782.15; 37.82 ; 3819.97 ;CIF;16;18;15;18;18;1;1;AEREO;Não Averbado;;2024-02-14;0;756;34;;756;756;1;;124652082;32202262908126500014355157773856900108838888;Aguardando retorno da Sefaz;Autorizado;1;
24;11;2022-09-16 13:55:12;27;6;30,410000;1,950000;25563.88; 511.28 ; 26075.16 ;CIF;46;23;15;23;23;2;1;AEREO;Não Averbado;;2024-02-16;0;923;420;;923;923;1;2024-02-14;346102888;45202292908126500014355118936465620108453333;Aguardando retorno da Sefaz;Autorizado;1;
11;10;2022-07-03 02:38:24;29;29;53,380000;7,260000;12380.34; 123.8 ; 12504.14 ;CIF;22;1;4;1;1;3;1;RODOVIARIO;Não Averbado;;2024-02-23;0;566;584;;566;566;1;2024-02-23;565503359;12202272908126500014355101595188390108983333;Autorizado;Autorizado;1;
8;15;2023-06-27 14:52:48;19;14;21,130000;30,280000;35051.76; 701.04 ; 35752.8 ;FOB;18;7;4;4;4;3;1;AEREO;Averbado;2449243;2024-02-24;0;836;964;;964;964;1;;354046185;24202362908126500014355156589418380108605555;Autorizado;Autorizado;1;
9;11;2022-05-05 14:52:48;22;36;46,720000;52,880000;34677.94; 1040.34 ; 35718.28 ;CIF;60;21;6;21;21;1;1;RODOVIARIO;Não Averbado;;2024-03-03;0;930;489;;930;930;1;;842517640;43202252908126500014355117819946030108406666;Rejeitado;Schema Invalido;1;
15;15;2023-08-25 14:38:24;23;52;10,640000;52,420000;10889.86; 326.7 ; 11216.56 ;CIF;22;16;9;16;16;3;1;AEREO;Não Averbado;;2024-03-03;0;674;857;;674;674;1;2024-02-14;845811473;49202382908126500014355158193218230108614444;Aguardando retorno da Sefaz;Autorizado;1;
13;10;2023-04-02 09:36:00;34;9;48,690000;34,960000;20502.07; 615.06 ; 21117.13 ;CIF;79;17;25;17;17;3;1;AEREO;Não Averbado;;2024-02-22;0;337;860;;337;337;1;2024-02-29;871866056;38202342908126500014355109970742910108135555;Autorizado;Autorizado;1;
16;12;2023-06-05 09:21:36;4;31;1,360000;30,030000;10979.19; 109.79 ; 11088.98 ;FOB;51;3;22;22;22;2;1;RODOVIARIO;Não Averbado;;2024-02-27;0;885;735;;735;735;1;;560114127;32202362908126500014355127607951740108824444;Rejeitado;Schema Invalido;1;
